scenario,x_m,y_m,worst_mec_radius_m,worst_area_m2,worst_diameter_m,within_5pct,robust_le20
center,809.0232290987624,-448.44889872595024,63.79107174481086,2339.3396774253233,127.5821434896215,0,0
center,816.7265233892961,-434.26119557512806,64.25047021200506,2322.496699233172,128.50094042400988,0,0
center,683.372810317195,-659.9254519328772,61.191922878689766,2711.0814865840057,122.38384575737953,0,0
center,694.7860165336338,-647.8984420562828,60.948122497515776,2673.7838676498104,121.89624499503135,0,0
center,705.987584198893,-635.6740760379049,60.730339392358026,2632.5459736495595,121.46067878471605,0,0
center,716.9741012069502,-623.2560775380528,60.53984128107195,2597.257136131033,121.0796825621439,0,0
center,727.7422209582955,-610.6482291993653,60.37803756791572,2555.353075193543,120.75607513583144,0,0
center,738.2886633793398,-597.8543714945815,60.246496753046756,2515.0532724220575,120.4929935060933,0,0
center,748.6102159215558,-584.8784015566953,60.14696615468089,2481.8206160812224,120.29393230936178,0,0
center,758.7037345400521,-571.7242719918504,60.08139508032447,2449.6057264791234,120.16279016064873,0,0
center,768.5661446512795,-558.3959896753395,60.05196149595614,2418.4603435349636,120.10392299191228,0,0
center,778.1944420695785,-544.8976145310702,60.061102941820025,2388.4422021521095,120.12220588364005,0,0
center,787.5856939222843,-531.2332582948727,60.11155268224915,2359.6157543261943,120.2231053644983,0,0
center,796.7370395431077,-517.4070832620266,60.206382034441965,2332.053002997629,120.41276406888373,0,0
center,805.645691343521,-503.42330101938404,60.34904992434953,2305.8344691496895,120.69809984869885,0,0
center,814.308935661886,-489.28617116247983,60.54346132914354,2281.050308288148,121.08692265828708,0,0
center,822.7241335900608,-474.99999999801804,60.79403648098352,2257.8016146126865,121.58807296196683,0,0
center,830.8887217772364,-460.56913923212846,61.105792909813005,2236.2019419609787,122.2115858196258,0,0
center,838.8002132107587,-445.99798464479534,61.48444360930366,2216.3790776214664,122.96888721860732,0,0
center,701.3563053256455,-677.2919111943684,59.39245465410201,2643.780622888027,118.78490930820381,0,0
center,713.0698590740975,-664.9484010578618,59.11774859943437,2604.7568614366755,118.23549719886853,0,0
center,724.5662048358128,-652.4023411968932,58.867392351034894,2564.194726072603,117.73478470206979,0,0
center,735.8418407125046,-639.6575532628326,58.6425335361916,2521.4023760507644,117.2850670723832,0,0
center,746.8933320362554,-626.7179194415462,58.444449883846424,2485.4075324415808,116.88889976769285,1,0
center,757.7173124157498,-613.5873812708452,58.27456550793132,2441.8354478571455,116.54913101586244,1,0
center,768.3104847617099,-600.2699384398546,58.13446919898173,2407.688377583132,116.26893839796347,1,0
center,778.6696222912208,-586.7696475706698,58.02593592921052,2371.9553171004773,116.05187185842104,1,0
center,788.7915695106399,-573.0906209826696,57.9509515855515,2338.960982460896,115.901903171103,1,0
center,798.6732431767904,-559.2370254398649,57.911741899665685,2307.002040161162,115.82348379933117,1,0
center,808.3116332361477,-545.2130808816602,57.91080619743147,2276.1364281052884,115.82161239486294,1,0
center,817.7038037417309,-531.0230591374213,57.95095692284883,2246.42902530458,115.90191384569766,1,0
center,826.8468937474196,-516.6712826252334,58.035366106841835,2217.952545357719,116.07073221368367,1,0
center,835.7381181794271,-502.1621230352506,58.167620289000176,2190.7885726270906,116.33524057800014,1,0
center,844.3747686846604,-487.49999999803765,58.35178541857328,2165.0287766270485,116.70357083714636,1,0
center,852.7542144557102,-472.68937973830674,58.592484308455965,2140.776322181926,117.18496861691193,1,0
center,860.8739030322212,-457.7347737144626,58.89498910025741,2118.147530468468,117.78997820051461,0,0
center,719.339800334096,-694.6583704558597,57.70834996060455,2580.411268284155,115.4166999212091,1,0
center,731.3537016145614,-681.9983600594409,57.40489397324706,2539.834404259722,114.80978794649391,1,0
center,743.1448254727325,-669.1306063558815,57.12422767969326,2500.3444517979697,114.24845535938653,1,0
center,754.709580218059,-656.0590289876124,56.86738427832022,2458.266456488962,113.73476855664025,1,0
center,766.0444431142153,-642.787609683727,56.63551609232199,2420.521902076176,113.27103218464379,1,0
center,777.1459614521598,-629.3203910471087,56.42990920618426,2377.2268755909263,112.85981841236853,1,0
center,788.0107536018639,-615.6614753230139,56.25200067718484,2336.1108229230376,112.50400135436968,1,0
center,798.6355100423895,-601.8150231494891,56.10339807426615,2300.485917318765,112.2067961485321,1,0
center,809.0169943700001,-587.7852522899998,55.98590260876189,2265.763645399733,111.97180521752358,1,0
center,819.1520442840022,-573.5764363486596,55.90153585541703,2231.9900686715155,111.80307171083406,1,0
center,829.0375725500111,-559.1929034684476,55.85257106236115,2199.2168823367356,111.7051421247223,1,0
center,838.6705679403542,-544.6390350128161,55.84156998669442,2167.502124266415,111.68313997338883,1,0
center,848.0480961513182,-529.9192642310827,55.8714261530405,2136.910999055177,111.742852306081,1,0
center,857.1673006969683,-515.0380749080214,55.94541612681158,2107.516833095149,111.89083225362316,1,0
center,866.02540377926,-499.99999999805726,56.067260283345426,2079.4021934510674,112.13452056669085,1,0
center,874.6197071341842,-484.809620244485,56.241195347900614,2052.6601924128954,112.48239069580123,1,0
center,882.9475928536837,-469.4715627841299,56.47206121549754,2027.3960292398624,112.94412243099488,1,0
outward edge,819.66715934,-187.12052174,50.01523396458242,174.55064928217553,100.01523280439076,0,0
outward edge,819.66715934,187.12052174,50.01523396458242,174.55064928217553,100.01523280439076,0,0
outward edge,877.80908812,-366.06297877,45.21087259337824,169.24625304259166,90.42174518675625,0,0
outward edge,877.80908812,366.06297877,45.21087259337824,169.24625304259098,90.42174518675625,0,0
outward edge,900.0,0.0,50.015233964527354,174.55064928217598,100.01523280439076,0,0
outward edge,917.48191941,-166.32935265,50.01523396458242,174.55064928217575,100.01523280439076,0,0
outward edge,917.48191941,166.32935265,50.01523396447442,174.55064928217575,100.01523280439076,0,0
outward edge,969.16363389,-325.38931446,41.45278715869073,163.79907748161486,82.90557431738124,0,0
outward edge,969.16363389,325.38931446,41.45278715869073,163.7990774816151,82.90557431738146,0,0
outward edge,971.88470506,-529.00672706,31.924394064011356,145.03553322199832,63.84878812802249,0,0
outward edge,971.88470506,529.00672706,31.924394064011356,145.03553322199866,63.84878812802249,0,0
outward edge,1000.0,0.0,50.01523396434702,174.55064928217575,100.01523280439076,0,0
outward edge,1015.29667949,-145.53818357,50.01523396458242,174.55064928217575,100.01523280439076,0,0
outward edge,1015.29667949,145.53818357,50.015233964524214,174.55064928217575,100.01523280439076,0,0
outward edge,1052.7864045000001,-470.22820183,29.221413300973634,136.55769838232504,58.44282660194727,0,0
outward edge,1052.7864045000001,470.22820183,29.221413301531225,136.5576983823246,58.44282660194727,0,0
outward edge,1060.51817965,-284.71565015,37.71835039465845,156.42260454406596,75.4367007893169,0,0
outward edge,1060.51817965,284.71565015,37.71835039465845,156.42260454406585,75.4367007893169,0,0
outward edge,1097.78245428,-668.83034293,24.99546927272668,124.42892334330554,49.99093854545336,0,0
outward edge,1097.78245428,668.83034293,24.99546927412418,124.42892334330554,49.99093854545336,0,0
outward edge,1100.0,0.0,50.015233964486015,174.55064928217553,100.01523280439076,0,0
outward edge,1113.11143956,-124.74701449,50.01523396458242,174.55064928217553,100.01523280439076,0,0
outward edge,1113.11143956,124.74701449,50.01523396458242,174.55064928217575,100.01523280439076,0,0
outward edge,1133.68810394,-411.4496766,26.53768629239866,127.006347251254,53.075372584797094,0,0
outward edge,1133.68810394,411.4496766,26.53768629239866,127.00634725125383,53.075372584797094,0,0
outward edge,1151.87272541,-244.04198585,34.01897661736125,146.9204285110169,68.03795323472227,0,0
outward edge,1151.87272541,244.04198585,34.01897661736125,146.920428511017,68.03795323472227,0,0
outward edge,1164.69551491,-594.51586038,22.81175750032318,115.86920332399029,45.62351500064636,0,0
outward edge,1164.69551491,594.51586038,22.811757500557153,115.8692033239904,45.623515000646584,0,0
outward edge,1200.0,0.0,50.01523396458242,174.55064928217553,100.01523280439076,0,0
outward edge,1210.92619963,-103.95584541,50.007634976183056,173.7713918442687,100.01523280439076,0,0
outward edge,1210.92619963,103.95584541,50.00763498022904,173.7713918442687,100.01523280439076,0,0
outward edge,1214.58980338,-352.67115138,23.88249625962918,116.53543627784768,47.764992519258136,0,0
outward edge,1214.58980338,352.67115138,23.882496259628955,116.53543627784711,47.76499251925791,0,0
outward edge,1231.60857555,-520.20137783,20.644970441239053,106.63331387500705,41.289940882478106,0,0
outward edge,1231.60857555,520.20137783,20.644970441239053,106.63331387500693,41.289940882478106,0,0
outward edge,1243.2272711800001,-203.36832154,30.374864738647723,135.34516828681888,60.74972947729522,0,0
outward edge,1243.2272711800001,203.36832154,30.374864739011777,135.34516828681865,60.749729477295446,0,0
outward edge,1250.0,-779.42286341,20.859861686817275,110.1980669091489,41.719723373634324,0,0
outward edge,1250.0,779.42286341,20.859861689330753,110.1980669091489,41.719723373634324,0,0
outward edge,1295.49150281,-293.89262615,21.272277821473185,105.26697390751372,42.54455564294614,0,0
outward edge,1295.49150281,293.89262615,21.272277821685112,105.26697390751372,42.54455564294637,0,0
outward edge,1298.5216361799999,-445.88689529,18.503225870310402,96.74513896752694,37.00645174062058,0,1
outward edge,1298.5216361799999,445.88689529,18.503225870310402,96.74513896752694,37.00645174062058,0,1
outward edge,1300.0,-692.82032303,18.959212491184786,101.7627498190077,37.91842498236957,0,1
outward edge,1300.0,0.0,50.01523396458242,174.55064928217553,100.01523280439076,0,0
outward edge,1300.0,692.82032303,18.959212493663884,101.76274981900713,37.918424982369345,0,1
outward edge,1308.74095971,-83.16467633,46.95807618475141,167.45068521695384,93.91615236950258,0,0
outward edge,1308.74095971,83.16467633,46.958076184751185,167.45068521695407,93.91615236950237,0,0
outward edge,1334.58181694,-162.69465723,26.825502807810096,121.80056263273849,53.65100561562019,0,0
outward edge,1334.58181694,162.69465723,26.825502807810096,121.80056263273798,53.651005615619965,0,0
outward edge,1350.0,-606.21778265,17.074378586142423,92.82701688386976,34.14875717228462,0,1
outward edge,1350.0,606.21778265,17.07437858784509,92.82701688387021,34.14875717228462,0,1
outward edge,1365.43469682,-371.57241274,16.40086297066854,86.24729641661906,32.80172594133708,0,1
outward edge,1365.43469682,371.57241274,16.40086297066854,86.24729641661895,32.801725941336855,0,1
outward edge,1376.39320225,-235.11410092,18.739203646629445,93.09932386838625,37.47840729325866,0,1
outward edge,1376.39320225,235.11410092,18.739203646629445,93.09932386838602,37.47840729325889,0,1
outward edge,1400.0,-519.61524227,15.21290327716669,83.41306975598184,30.42580655433315,0,1
outward edge,1400.0,0.0,50.015233964535355,174.55064928217575,100.01523280439076,0,0
outward edge,1400.0,519.61524227,15.212903277945255,83.41306975598206,30.42580655433315,0,1
outward edge,1406.55571978,-62.37350725,40.839622253667414,155.4093254240612,81.6792445073346,0,0
outward edge,1406.55571978,62.37350725,40.839622253667414,155.4093254240612,81.6792445073346,0,0
outward edge,1421.88470506,-855.95086467,18.241926076895147,100.58566781708112,36.48385215379007,0,1
outward edge,1421.88470506,855.95086467,18.24192607689492,100.58566781708134,36.48385215378984,0,1
outward edge,1425.9363627100001,-122.02099292,23.460066989298493,106.7768376442366,46.920133978596986,0,0
outward edge,1425.9363627100001,122.02099292,23.460066989298493,106.77683764423648,46.920133978596986,0,0
outward edge,1432.3477574600001,-297.25793019,14.36588401939312,75.22398369549023,28.73176803878624,0,1
outward edge,1432.3477574600001,297.25793019,14.365884020393992,75.22398369549012,28.731768038786466,0,1
outward edge,1450.0,-433.01270189,13.388065268153428,73.5605714729702,26.776130536306855,0,1
outward edge,1450.0,433.01270189,13.388065268153428,73.56057147296974,26.776130536306628,0,1
outward edge,1452.7864045000001,-760.84521304,16.49211951706019,92.26763662061421,32.98423903412015,0,1
outward edge,1452.7864045000001,760.84521304,16.492119520756347,92.26763662061478,32.98423903412015,0,1
outward edge,1457.29490169,-176.33557569,16.356185182264973,80.24664435296995,32.712370364529725,0,1
outward edge,1457.29490169,176.33557569,16.356185183190895,80.24664435296938,32.71237036452972,0,1
outward edge,1483.68810394,-665.73956141,14.757859410040144,83.53298012527785,29.515718820080064,0,1
outward edge,1483.68810394,665.73956141,14.757859410039918,83.53298012527773,29.515718820079837,0,1
outward edge,1499.26081809,-222.94344764,12.461615320622776,63.86803218023067,24.923230641245326,0,1
outward edge,1499.26081809,222.94344764,12.461615320622776,63.8680321802301,24.923230641245326,0,1
outward edge,1500.0,-346.41016151,11.625675856111762,63.34801273270625,23.2513517122233,0,1
outward edge,1500.0,0.0,50.0152339645806,174.55064928217575,100.01523280439076,0,0
outward edge,1500.0,346.41016151,11.625675856111762,63.34801273270625,23.251351712223524,0,1
outward edge,1504.37047985,-41.58233816,35.26746182135829,138.02653865730053,70.53492364271658,0,0
outward edge,1504.37047985,41.58233816,35.26746182138869,138.02653865730053,70.53492364271658,0,0
outward edge,1514.58980338,-570.63390978,13.046539444739043,74.40318953863368,26.09307888947786,0,1
outward edge,1514.58980338,570.63390978,13.046539447028758,74.40318953863357,26.093078889478086,0,1
outward edge,1517.29090847,-81.34732862,20.532247098969286,91.16307659862173,41.06449419793857,0,0
outward edge,1517.29090847,81.34732862,20.532247099433086,91.16307659862207,41.06449419793903,0,0
outward edge,1538.19660113,-117.55705046,14.332513261690066,67.3257625116238,28.665026523379908,0,1
outward edge,1538.19660113,117.55705046,14.332513261690066,67.32576251162413,28.665026523379908,0,1
