trial,policy,scenario,station_x_m,station_y_m,target_x_m,target_y_m,q_x_m,q_y_m,receive_radius_m,move_m,decision_time_ms,safe_certified,safe_margin_m,conditional_worst_mec_radius_m,conditional_worst_diameter_m,conditional_worst_area_m2,conservative_worst_mec_radius_m,detected,near,area_m2,diameter_m,mec_radius_m,contains_truth
20,analytic_far_range,global_random,-315.43416697326313,922.4603624350264,417.98703339491317,1194.725890240109,411.4606801063011,1609.2091383998452,1256.914677051153,1000.0,0.0,1,-4.4792614062316716e-11,58.75000471903488,117.50000936867433,1918.2826310228556,58.75000471903488,1,0,416.52878106047865,37.30906862629443,18.654534313147217,1
20,fixed_750_375,global_random,-315.43416697326313,922.4603624350264,417.98703339491317,1194.725890240109,253.02120841263263,1538.8883681217246,1256.914677051153,838.525491562421,0.0,1,161.4745084375346,76.37437089344833,152.74874178689666,2770.3422071347013,76.37437089344833,1,0,356.5149977991823,31.008909426901237,15.504454713450672,1
21,minimax_mec,global_random,-1415.9284561264635,352.32428262848003,-1481.1626084690142,-571.2758555591919,-1007.7918710566098,-560.5965945107196,1156.528337585347,999.9999999945437,2833.8302909999984,1,5.4232032198342495e-09,39.51617418465295,79.0323483693058,1252.5065860562027,39.51617418465295,1,0,535.9484233963303,37.90855583921933,18.95427791960977,1
21,analytic_far_range,global_random,-1415.9284561264635,352.32428262848003,-1481.1626084690142,-571.2758555591919,-1095.1882291814195,-594.8429184607687,1156.528337585347,999.9999999999998,0.0,1,-3.035438567167148e-11,43.55177882769073,87.10355765538145,1106.6654185098596,43.55177882769073,1,0,434.96638704510406,35.22854789689152,17.614273948445778,1
21,fixed_750_375,global_random,-1415.9284561264635,352.32428262848003,-1481.1626084690142,-571.2758555591919,-1092.9726585230565,-421.5132667281968,1156.528337585347,838.5254915624212,0.0,1,161.47450843754632,53.292189341284804,106.58437868256951,1659.8563248310238,53.292189341284804,1,0,518.6876113561448,45.068446504079034,22.534223252039517,1
22,minimax_mec,global_random,895.5342612027375,-1223.4509107048002,712.8955403557623,-1316.7271755727882,-101.93801762973135,-1152.394222421086,1225.9691088704847,999.9999999945437,2436.8533749999983,1,5.493689059221651e-09,33.25413683004225,66.5082736600845,1052.2033398004714,33.25413683004225,1,0,333.56045441515744,56.35591691884894,28.177958459424506,1
22,analytic_far_range,global_random,895.5342612027375,-1223.4509107048002,712.8955403557623,-1316.7271755727882,246.68606229861848,-1984.3687872058592,1225.9691088704847,1000.0000000000001,0.0,1,2.4101609596982598e-11,43.55177882721884,87.10355765443768,914.735699267243,43.55177882721884,1,0,431.12395681790076,73.82185223156382,36.910926115782026,1
22,fixed_750_375,global_random,895.5342612027375,-1223.4509107048002,712.8955403557623,-1316.7271755727882,396.6468953791606,-1897.4215304068853,1225.9691088704847,838.5254915624212,0.0,1,161.4745084376009,49.804596946333845,99.60919389266769,1459.7691147876903,49.804596946333845,1,0,291.65303107746877,51.57914356130407,25.789571780652086,1
23,minimax_mec,global_random,-610.0769954561893,-1362.5743060768439,361.5258600151637,-1527.1528425437393,318.0419859870369,-990.2906020635259,1122.6504094130491,999.9999999945437,3215.7891249999866,1,5.46265255252365e-09,49.45886253560256,98.91772507120504,1782.902318192646,49.45886253560256,1,0,653.0624962071888,43.894945589248785,21.947472794624492,1
23,analytic_far_range,global_random,-610.0769954561893,-1362.5743060768439,361.5258600151637,-1527.1528425437393,362.3890253648244,-1129.5295928809776,1122.6504094130491,999.9999999999999,0.0,1,-2.2737367544323206e-13,51.13428192645621,102.26856385291232,1591.5588879999705,51.13428192645621,1,0,472.2682367693633,39.31222382928073,19.656111914640462,1
23,fixed_750_375,global_random,-610.0769954561893,-1362.5743060768439,361.5258600151637,-1527.1528425437393,189.9833462000896,-1111.519631336782,1122.6504094130491,838.525491562421,0.0,1,161.47450843758168,67.33464772901597,134.66929545803183,2338.4935335069895,67.33464772901597,1,0,615.466924717417,51.83380883891421,25.916904419457193,1
24,minimax_mec,global_random,134.80681109221806,1608.3487034997372,440.9107229493916,1240.506055856983,268.4685293821388,617.3216882005207,1442.2145871482642,999.9999999945438,2667.4387079999915,1,5.490733201440889e-09,55.82453429700899,111.64906859401775,2166.5893847357947,55.82453429700899,1,0,453.1857861953322,42.438616113250895,21.219308056625454,1
24,analytic_far_range,global_random,134.80681109221806,1608.3487034997372,440.9107229493916,1240.506055856983,1028.1868695773294,1159.0469439871135,1442.2145871482642,1000.0000000000003,0.0,1,3.410605131648481e-13,59.00755204661281,118.01510409322556,1924.4743487068918,59.00755204661281,1,0,517.9251491005998,51.905962598607445,25.952981299303723,1
24,fixed_750_375,global_random,134.80681109221806,1608.3487034997372,440.9107229493916,1240.506055856983,908.0748461429912,1284.031658050818,1442.2145871482642,838.5254915624212,0.0,1,161.47450843757656,76.6770996026729,153.35419920534576,2756.4845564928837,76.6770996026729,1,0,331.21680404711515,35.52236747367078,17.76118373683539,1
25,minimax_mec,global_random,-1189.966480463139,-102.52967630473513,-887.0920038668935,301.0970295284526,-1119.8197971371255,895.0070111446275,1183.4494418553088,999.9999999945438,2678.2790419999997,1,5.494030119734816e-09,55.82635354179703,111.65270708359402,2166.686849220423,55.82635354179703,1,0,462.52851564390585,40.58362433833319,20.29181216916662,1
25,analytic_far_range,global_random,-1189.966480463139,-102.52967630473513,-887.0920038668935,301.0970295284526,-941.2335312607929,866.0424273515198,1183.4494418553088,1000.0000000000001,0.0,1,4.376943252282217e-11,58.950270675339006,117.90054135067791,1921.8069364081603,58.950270675339006,1,0,512.6254334410187,50.806479698013554,25.403239849006788,1
25,fixed_750_375,global_random,-1189.966480463139,-102.52967630473513,-887.0920038668935,301.0970295284526,-1037.7709616298066,722.0681190155366,1183.4494418553088,838.5254915624212,0.0,1,161.47450843762044,76.60978448758411,153.2195689660419,2752.9988074634457,76.60978448758411,1,0,328.16489462414756,34.657464694666274,17.32873234733314,1
26,minimax_mec,global_random,-155.32249281347458,6.812039232610011,-65.81463535861262,535.1492219080793,-536.944624392643,931.1304630877552,1173.761900496236,999.999999994544,2705.0449579999877,1,5.456399776448961e-09,55.82272996447069,111.64545990464856,2166.4927201878163,55.82272996447069,1,0,464.1669385980931,40.22908780578838,20.114543902894216,1
