layout,noise,n,vertices_count,total,bounded,unbounded,degenerate,failures,failure_rate,source_outside_count,median_vertices,mean_circularity,median_circularity,median_ratio,p95_ratio,max_ratio,failure_over_1pct,polygon_inside_arena_count
local_walk,uniform,8,5,869,869,0,0,47,0.05408515535097814,0,5.0,0.36249703911256903,0.32994171412936457,1.0,1.0001406428282436,1.1128853926462148,0.023014959723820484,850
local_walk,uniform,8,6,424,424,0,0,18,0.04245283018867924,1,6.0,0.39455562714456666,0.36847376725376313,1.0,1.0000000000000002,1.0523185625833704,0.02122641509433962,405
local_walk,uniform,8,7,122,122,0,0,5,0.040983606557377046,0,7.0,0.4149858252000055,0.38168758207161235,1.0,1.0000000000000002,1.0409886326190245,0.01639344262295082,120
local_walk,uniform,8,8,13,13,0,0,0,0.0,0,8.0,0.5437888301960341,0.5807093775581311,1.0,1.0,1.0000000000000002,0.0,13
local_walk,uniform,8,9,3,3,0,0,0,0.0,0,9.0,0.4530519622340072,0.4089117618657444,1.0,1.0000000000000002,1.0000000000000002,0.0,3
local_walk,uniform,8,10,1,1,0,0,0,0.0,0,10.0,0.44964342023041803,0.44964342023041803,1.0,1.0,1.0,0.0,1
local_walk,uniform,12,3,170,170,0,0,33,0.19411764705882353,0,3.0,0.31018197247785845,0.2777961231183588,1.0,1.0480747853614005,1.0895080288608574,0.11764705882352941,169
local_walk,uniform,12,4,838,838,0,0,83,0.09904534606205251,4,4.0,0.4010160528184296,0.3856560913097845,1.0,1.0128162117037034,1.0848261892671707,0.0513126491646778,822
local_walk,uniform,12,5,882,882,0,0,98,0.1111111111111111,0,5.0,0.44535475814528785,0.43988414340891513,1.0,1.0073990506091042,1.1128853926462141,0.04195011337868481,871
local_walk,uniform,12,6,444,444,0,0,52,0.11711711711711711,1,6.0,0.4913598662566043,0.4859447890453915,1.0,1.0081222037986552,1.053983290156443,0.04054054054054054,436
local_walk,uniform,12,7,141,141,0,0,23,0.16312056737588654,1,7.0,0.5258693208351524,0.5160673573410122,1.0,1.0138307716079908,1.1011068919497853,0.07092198581560284,136
local_walk,uniform,12,8,19,19,0,0,1,0.05263157894736842,0,8.0,0.46169412685134953,0.46384672908734476,1.0,1.000424920125835,1.0042492012583493,0.0,18
local_walk,uniform,12,9,5,5,0,0,0,0.0,0,9.0,0.562266824157051,0.6160578969927386,1.0,1.0,1.0,0.0,5
local_walk,uniform,12,10,1,1,0,0,0,0.0,0,10.0,0.2876059396865724,0.2876059396865724,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.0,1
local_walk,uniform,20,3,189,189,0,0,54,0.2857142857142857,1,3.0,0.3852417656856654,0.39471522055506986,1.0,1.057652650091102,1.0984071385495682,0.1746031746031746,188
local_walk,uniform,20,4,842,842,0,0,158,0.1876484560570071,5,4.0,0.4749131633285339,0.4904119708257966,1.0,1.0294867961663021,1.1276911076200788,0.09619952494061758,837
local_walk,uniform,20,5,847,847,0,0,164,0.1936245572609209,0,5.0,0.5244903295903279,0.5477475451135296,1.0,1.0184580364753468,1.092545046284716,0.07083825265643448,840
local_walk,uniform,20,6,427,427,0,0,96,0.22482435597189696,1,6.0,0.5723914561493132,0.5958572658867072,1.0,1.0214163788142085,1.0738644907796338,0.07728337236533958,425
local_walk,uniform,20,7,145,145,0,0,32,0.2206896551724138,1,7.0,0.6206419064681371,0.6632020556872886,1.0,1.0185222687359223,1.09858965716483,0.1103448275862069,145
local_walk,uniform,20,8,38,38,0,0,6,0.15789473684210525,0,8.0,0.5630331683566976,0.5407161205266167,1.0,1.0057201917621292,1.0249324155133879,0.05263157894736842,36
local_walk,uniform,20,9,9,9,0,0,1,0.1111111111111111,0,9.0,0.644344625846175,0.7150617770745432,1.0,1.0006871638167643,1.0011452730279402,0.0,9
local_walk,uniform,20,10,3,3,0,0,0,0.0,0,10.0,0.7376200581736452,0.7688732812595281,1.0,1.0000000000000002,1.0000000000000002,0.0,3
local_walk,uniform,32,3,190,190,0,0,74,0.3894736842105263,6,3.0,0.4355918248904042,0.4579914289258388,1.0000000000000002,1.0765377379690961,1.1398746097347234,0.2789473684210526,190
local_walk,uniform,32,4,788,788,0,0,245,0.31091370558375636,7,4.0,0.5183636444819365,0.5441449308480797,1.0,1.044151578049583,1.116938282672548,0.14974619289340102,785
local_walk,uniform,32,5,863,863,0,0,266,0.3082271147161066,3,5.0,0.5726944718118275,0.5981719950175435,1.0,1.0353511184869297,1.1128604037922698,0.13673232908458866,859
local_walk,uniform,32,6,463,463,0,0,146,0.31533477321814257,1,6.0,0.6210603810560984,0.6521849185412361,1.0,1.02963625284981,1.1087938422209165,0.14038876889848811,460
local_walk,uniform,32,7,152,152,0,0,47,0.3092105263157895,0,7.0,0.6576555732655724,0.6999505003447766,1.0,1.0465735661835007,1.0730328030910383,0.17763157894736842,151
local_walk,uniform,32,8,36,36,0,0,16,0.4444444444444444,0,8.0,0.7237553173891021,0.7818167186329067,1.0000000000000002,1.0226658887064775,1.04165091842597,0.1111111111111111,36
local_walk,uniform,32,9,5,5,0,0,0,0.0,0,9.0,0.76167798201983,0.8063828288005328,1.0,1.0000000000000002,1.0000000000000002,0.0,5
local_walk,uniform,32,10,2,2,0,0,0,0.0,0,10.0,0.6002793413258292,0.6002793413258292,1.0,1.0,1.0,0.0,2
local_walk,uniform,32,11,1,1,0,0,0,0.0,0,11.0,0.5876890703735675,0.5876890703735675,1.0,1.0,1.0,0.0,1
uniform_area,truncnorm,2,3,15,15,0,0,0,0.0,0,3.0,0.026831021162234864,0.02964665212562415,1.0,1.0000000000000002,1.0000000000000002,0.0,12
uniform_area,truncnorm,2,4,2440,2440,0,0,26,0.010655737704918032,0,4.0,0.44396092267304355,0.4643261367024006,1.0,1.0000000000000002,1.0005352805469283,0.0,2259
uniform_area,truncnorm,3,3,11,11,0,0,5,0.45454545454545453,0,3.0,0.40230954635121124,0.4761402760382355,1.0,1.0305648235727654,1.0392668688706104,0.2727272727272727,11
uniform_area,truncnorm,3,4,1141,1141,0,0,91,0.07975460122699386,0,4.0,0.525894197566229,0.5585952624938565,1.0,1.0007036486807317,1.066623251434235,0.020157756354075372,1106
uniform_area,truncnorm,3,5,939,939,0,0,122,0.1299254526091587,0,5.0,0.5656013357455553,0.6070048782754014,1.0,1.003916249580815,1.0944252688780063,0.026624068157614485,901
uniform_area,truncnorm,3,6,408,408,0,0,62,0.15196078431372548,0,6.0,0.6542839995951143,0.7017570889961652,1.0,1.006237842146142,1.0743951757937762,0.0392156862745098,399
uniform_area,truncnorm,4,3,8,8,0,0,5,0.625,0,3.0,0.5172224259840366,0.5147525289497937,1.0031463171451183,1.0591963012902197,1.061963100371048,0.375,8
uniform_area,truncnorm,4,4,813,813,0,0,113,0.13899138991389914,0,4.0,0.556136088342198,0.5902290829089831,1.0,1.0118703768130672,1.1424071207272022,0.055350553505535055,796
uniform_area,truncnorm,4,5,894,894,0,0,189,0.21140939597315436,0,5.0,0.6067621362572067,0.6421557758227205,1.0,1.0129193051635823,1.08180070287629,0.07046979865771812,873
uniform_area,truncnorm,4,6,629,629,0,0,148,0.23529411764705882,0,6.0,0.6620181423452864,0.6901102629893097,1.0,1.0147065568809306,1.0521573324825644,0.06677265500794913,619
uniform_area,truncnorm,4,7,143,143,0,0,32,0.22377622377622378,0,7.0,0.7027743141406498,0.7487914916844759,1.0,1.0104995333024052,1.0641653689437378,0.055944055944055944,138
uniform_area,truncnorm,4,8,13,13,0,0,2,0.15384615384615385,0,8.0,0.7189771931368496,0.7365570984476837,1.0,1.001665863643093,1.0041117189479056,0.0,13
uniform_area,truncnorm,6,3,11,11,0,0,8,0.7272727272727273,0,3.0,0.5092717122641687,0.5582467847682251,1.0338040374446766,1.0598878894211665,1.061963100371048,0.5454545454545454,11
uniform_area,truncnorm,6,4,600,600,0,0,118,0.19666666666666666,0,4.0,0.580055558298983,0.6102644882818955,1.0,1.018816327956241,1.0769553331648218,0.085,593
uniform_area,truncnorm,6,5,787,787,0,0,228,0.289707750952986,0,5.0,0.6284367024955549,0.6527244675487678,1.0,1.0227461432909029,1.0981467601077275,0.10800508259212198,776
uniform_area,truncnorm,6,6,689,689,0,0,205,0.29753265602322204,0,6.0,0.6836904221079991,0.7093643085734298,1.0,1.0157436965556788,1.0901329804148403,0.09288824383164006,678
uniform_area,truncnorm,6,7,324,324,0,0,98,0.30246913580246915,0,7.0,0.7187364443224793,0.7430402145089001,1.0,1.01771279572092,1.0684436636015324,0.08333333333333333,316
uniform_area,truncnorm,6,8,75,75,0,0,23,0.30666666666666664,0,8.0,0.7607632175781359,0.7800161349227918,1.0,1.0156330417324153,1.1089216300485967,0.09333333333333334,74
uniform_area,truncnorm,6,9,14,14,0,0,4,0.2857142857142857,0,9.0,0.7614519419839746,0.7515690187889966,1.0,1.035637582511103,1.0801199363851774,0.14285714285714285,14
uniform_area,truncnorm,8,3,9,9,0,0,5,0.5555555555555556,0,3.0,0.5200360163290415,0.5328616431278702,1.0002933968502332,1.0615416340612898,1.0619631003710508,0.3333333333333333,9
uniform_area,truncnorm,8,4,510,510,0,0,126,0.24705882352941178,0,4.0,0.5846916397946156,0.610185751944909,1.0,1.0256450655057234,1.1357381773001114,0.09019607843137255,503
uniform_area,truncnorm,8,5,797,797,0,0,277,0.3475533249686324,0,5.0,0.6435663641191828,0.6722846846599702,1.0,1.0255873407276823,1.1136154464856463,0.12296110414052698,789
uniform_area,truncnorm,8,6,688,688,0,0,231,0.33575581395348836,0,6.0,0.6924881052151562,0.7178422766385891,1.0,1.0190614686321788,1.0944896952732188,0.10610465116279069,679
uniform_area,truncnorm,8,7,350,350,0,0,126,0.36,0,7.0,0.7149976913431005,0.735135046886602,1.0,1.0239238103636763,1.0684436636015384,0.10571428571428572,345
uniform_area,truncnorm,8,8,110,110,0,0,28,0.2545454545454545,0,8.0,0.7496091523888694,0.7695132476204347,1.0,1.0151537745334638,1.0339104558721839,0.08181818181818182,106
uniform_area,truncnorm,8,9,30,30,0,0,15,0.5,0,9.0,0.7605553786725487,0.7876451517091305,1.0000002552982439,1.0245614872300177,1.04631692769963,0.1,29
